序号,源名称,源类型,RSS链接,官网链接,Folo文件夹路径,Folo订阅源名称,主分类,标签,是否已加入Folo,是否建议订阅,订阅优先级,来源权威度,更新频率,最近更新时间,长期价值评分,是否失效,重复源ID,加入时间,最后检查时间,备注
1,Folo GitHub,开源项目,https://github.com/RSSNext/Folo/releases.atom,https://github.com/RSSNext/Folo,AI工具/Folo_RSS,Folo GitHub,AI工具,Folo;RSS;AI阅读器,否,是,中,75,待观察,,70,否,2d8bb96e86dc,2026-06-02 19:57:29,2026-06-02 19:57:29,可尝试加入Folo
2,RSSHub GitHub,开源项目,https://github.com/DIYgod/RSSHub/releases.atom,https://github.com/DIYgod/RSSHub,AI工具/Folo_RSS,RSSHub GitHub,AI工具,RSSHub;RSS,否,是,中,75,待观察,,70,否,d668d67a78db,2026-06-02 19:57:29,2026-06-02 19:57:29,可尝试加入Folo
